bin	n	n1	gc_mid	mean_pred	empirical_prop	se
0	2	1	14.15	0.06779550979554633	0.5	0.3535533905932738
1	2	2	18.5	0.11063768173605218	1.0	0.0
2	44	8	22.147727272727273	0.07352784308288078	0.18181818181818182	0.058145649915166485
3	1353	107	25.572209903917223	0.07804179536611647	0.07908351810790835	0.007336758351804626
4	11693	933	28.767202599846065	0.07898598364582078	0.07979132814504404	0.002505867093001352
5	35385	2830	32.005914935707224	0.08066349883405442	0.07997739155009184	0.0014420265871326087
6	57217	4824	35.389300382753376	0.08417165441893819	0.08431060698743381	0.0011615894479378936
7	65273	5827	38.76043999816157	0.08896476716434115	0.08927121474422808	0.0011160495253421912
8	51224	4855	42.21567038888021	0.09552174188198402	0.09477979072309854	0.0012941906231002099
9	35391	3501	45.67033426577378	0.10179040755760346	0.09892345511570738	0.0015870260804205316
10	20958	2287	49.17439164042371	0.11011706900845962	0.10912300792060312	0.0021537342659743914
11	10352	1278	52.68967349304482	0.12444965333083949	0.12345440494590418	0.003233169099078754
12	5368	762	56.18101713859911	0.1371094119920491	0.14195230998509686	0.004763439917752269
13	2608	498	59.70916411042945	0.16311187946640945	0.19095092024539878	0.007696522058906474
14	1142	264	63.10840630472855	0.1961511239293643	0.23117338003502627	0.01247527321062314
15	536	164	66.5544776119403	0.22967741312064077	0.30597014925373134	0.01990426794682097
16	260	63	70.21538461538462	0.2637194808130233	0.2423076923076923	0.0265731699967795
17	130	21	73.66692307692307	0.3154067100172225	0.16153846153846155	0.03227809294984502
18	61	12	77.16229508196722	0.357740191926716	0.19672131147540983	0.050897202262446
19	19	3	80.21052631578948	0.3900823726917405	0.15789473684210525	0.08365467518305539
