bin	n	n1	gc_mid	mean_pred	empirical_prop	se
0	1	1	6.5	0.1981332888505915	1.0	0.0
1	5	1	11.66	0.13674690862604613	0.2	0.1788854381999832
2	13	5	16.43846153846154	0.10615179222950719	0.38461538461538464	0.1349320029703122
3	203	45	20.91822660098522	0.088304763620237	0.22167487684729065	0.029153502845924634
4	9969	772	24.922269034005417	0.07276735142429137	0.07744006419901696	0.002677036850158762
5	140465	11003	28.349320471291783	0.07527072152903731	0.07833268073897412	0.0007169263242055952
6	547988	43463	31.882021321634785	0.07763855995657679	0.07931378059373563	0.00036504350276393997
7	965363	79472	35.61512394819358	0.08157718542915227	0.08232343688332783	0.0002797442973411023
8	1041718	89468	39.290439543139314	0.08676097307780432	0.08588504758485502	0.0002745263921089713
9	806251	73293	43.0854752428214	0.09289585357176139	0.09090593376008216	0.0003201587638437054
10	508710	50171	46.91624009750152	0.10004441890037419	0.09862397043502191	0.0004180315939935639
11	259169	28032	50.72053987938372	0.10998461268099852	0.10816108408027195	0.000610080577171813
12	126120	15594	54.56227719632097	0.12243925931840016	0.1236441484300666	0.0009269046231281781
13	57367	9158	58.44577195948891	0.14450707440241936	0.15963881674133212	0.001529224236353967
14	23791	4955	62.24695473078055	0.17707927744475424	0.2082720356437308	0.002632674244879103
15	9335	2310	66.09616497054098	0.2164613842292	0.24745581146223888	0.004466400575554998
16	4036	775	70.07182854311198	0.23559674461867552	0.19202180376610506	0.0062001117082178215
17	1808	281	73.85005530973451	0.2724704926838586	0.1554203539823009	0.008520695379561554
18	649	99	77.48428351309708	0.2914328438487426	0.15254237288135594	0.014113408008136498
19	73	15	80.9054794520548	0.3258431758172848	0.2054794520547945	0.047290655747930364
