group	bin	n	n1	gc_mid	mean_pred	empirical_prop	gap	se	inflation	se_log_inflation	gc
non-CpG	4	9884	726	24.922	0.0688194	0.073452	-0.00463263	0.00262403	0.93693	0.0357245	0.24922
non-CpG	5	138720	10030	28.3489	0.0695392	0.0723039	-0.0027647	0.000695367	0.961763	0.00961728	0.283489
non-CpG	6	539742	38988	31.881	0.0707199	0.0722345	-0.00151462	0.00035237	0.979032	0.00487813	0.31881
non-CpG	7	946096	69084	35.6131	0.0724327	0.0730201	-0.000587406	0.000267478	0.991956	0.00366308	0.356131
non-CpG	8	1013622	74568	39.2875	0.0744707	0.0735659	0.000904828	0.000259303	1.0123	0.00352477	0.392875
non-CpG	9	777307	57987	43.0823	0.0766282	0.0745999	0.00202834	0.000298015	1.02719	0.00399484	0.430823
non-CpG	10	485577	37955	46.9123	0.079517	0.0781647	0.0013523	0.000385215	1.0173	0.00492824	0.469123
non-CpG	11	243987	19903	50.7157	0.08368	0.081574	0.00210597	0.000554134	1.02582	0.00679302	0.507157
non-CpG	12	116776	10624	54.5551	0.0894857	0.0909776	-0.00149186	0.000841546	0.983602	0.00925003	0.545551
non-CpG	13	51282	5770	58.4293	0.0985831	0.112515	-0.013932	0.00139542	0.876176	0.012402	0.584293
non-CpG	14	20091	2909	62.223	0.111953	0.144791	-0.0328379	0.0024826	0.773205	0.0171461	0.62223
non-CpG	15	7325	1296	66.0771	0.130358	0.176928	-0.0465705	0.00445876	0.736783	0.0252009	0.660771
non-CpG	16	3073	449	70.0518	0.145161	0.146111	-0.000950405	0.00637179	0.993495	0.0436091	0.700518
non-CpG	17	1237	150	73.8314	0.155971	0.121261	0.0347103	0.00928124	1.28624	0.0765393	0.738314
