bin	n	n1	gc_mid	mean_pred	empirical_prop	se	population	gc
4	9884	726	24.922	0.0688194	0.073452	0.00262403	original	0.24922
5	138720	10030	28.3489	0.0695392	0.0723039	0.000695367	original	0.283489
6	539742	38988	31.881	0.0707199	0.0722345	0.00035237	original	0.31881
7	946096	69084	35.6131	0.0724327	0.0730201	0.000267478	original	0.356131
8	1013622	74568	39.2875	0.0744707	0.0735659	0.000259303	original	0.392875
9	777307	57987	43.0823	0.0766282	0.0745999	0.000298015	original	0.430823
10	485577	37955	46.9123	0.079517	0.0781647	0.000385215	original	0.469123
11	243987	19903	50.7157	0.08368	0.081574	0.000554134	original	0.507157
12	116776	10624	54.5551	0.0894857	0.0909776	0.000841546	original	0.545551
13	51282	5770	58.4293	0.0985831	0.112515	0.00139542	original	0.584293
14	20091	2909	62.223	0.111953	0.144791	0.0024826	original	0.62223
15	7325	1296	66.0771	0.130358	0.176928	0.00445876	original	0.660771
16	3073	449	70.0518	0.145161	0.146111	0.00637179	original	0.700518
17	1237	150	73.8314	0.155971	0.121261	0.00928124	original	0.738314
4	8889	589	24.932	0.0677013	0.0662617	0.00263826	scored	0.24932
5	122154	8357	28.3409	0.068404	0.0684136	0.000722319	scored	0.283409
6	461298	31732	31.875	0.068763	0.0687885	0.000372642	scored	0.31875
7	784652	54147	35.5994	0.0690452	0.0690077	0.000286143	scored	0.355994
8	828790	56637	39.2846	0.0692097	0.068337	0.000277163	scored	0.392846
9	620269	42718	43.0716	0.0690304	0.0688701	0.000321537	scored	0.430716
10	371983	26022	46.8988	0.0690529	0.0699548	0.000418215	scored	0.468988
11	176779	12504	50.6924	0.0698358	0.0707324	0.000609767	scored	0.506924
12	76704	5574	54.5106	0.0710704	0.072669	0.000937309	scored	0.545106
13	27135	2112	58.3533	0.0729342	0.0778331	0.00162638	scored	0.583533
14	8004	655	62.1331	0.075921	0.0818341	0.0030639	scored	0.621331
15	2392	230	66.0406	0.0823624	0.0961538	0.00602768	scored	0.660406
16	981	102	70.1251	0.0894026	0.103976	0.00974521	scored	0.701251
4	7943	509	24.9174	0.0613664	0.0640816	0.00274785	sizematched	0.249174
5	110567	7167	28.3503	0.0621606	0.0648204	0.000740441	sizematched	0.283503
6	430580	27697	31.8805	0.0632552	0.0643249	0.000373874	sizematched	0.318805
7	754655	49275	35.6134	0.0647406	0.0652947	0.000284382	sizematched	0.356134
8	808517	53278	39.2888	0.0665271	0.065896	0.00027592	sizematched	0.392888
9	619314	41135	43.0822	0.0683924	0.0664203	0.000316425	sizematched	0.430822
10	386974	26965	46.9121	0.0709524	0.0696817	0.000409293	sizematched	0.469121
11	194311	14116	50.7159	0.074661	0.0726464	0.000588818	sizematched	0.507159
12	92798	7608	54.5557	0.0798386	0.0819845	0.000900579	sizematched	0.545557
13	40523	4066	58.429	0.0880059	0.100338	0.00149253	sizematched	0.58429
14	15875	2040	62.221	0.0995082	0.128504	0.00265604	sizematched	0.62221
15	5749	922	66.0691	0.115336	0.160376	0.00483967	sizematched	0.660691
16	2453	336	70.0417	0.127755	0.136975	0.00694199	sizematched	0.700417
17	1000	109	73.8177	0.137655	0.109	0.0098549	sizematched	0.738177
