bin	n	n1	gc_mid	se	mean_pred	empirical_prop	population	gc
4	9884	726	24.922	0.0365539	0.959117	1.02322	original	0.24922
5	138720	10030	28.3489	0.00951397	0.961792	0.989257	original	0.283489
6	539742	38988	31.881	0.00480041	0.968382	0.984067	original	0.31881
7	946096	69084	35.6131	0.00360028	0.97741	0.982856	original	0.356131
8	1013622	74568	39.2875	0.00344502	0.988834	0.977373	original	0.392875
9	777307	57987	43.0823	0.00390426	1.00181	0.977325	original	0.430823
10	485577	37955	46.9123	0.00496601	1.01967	1.00766	original	0.469123
11	243987	19903	50.7157	0.00697277	1.04752	1.02646	original	0.507157
12	116776	10624	54.5551	0.0103385	1.094	1.11767	original	0.545551
13	51282	5770	58.4293	0.016757	1.17347	1.35115	original	0.584293
14	20091	2909	62.223	0.0290469	1.3035	1.69409	original	0.62223
15	7325	1296	66.0771	0.0512337	1.48317	2.03301	original	0.660771
16	3073	449	70.0518	0.0711295	1.64188	1.63107	original	0.700518
17	1237	150	73.8314	0.107811	1.75201	1.40857	original	0.738314
4	8889	589	24.932	0.0400576	1.01859	1.00607	scored	0.24932
5	122154	8357	28.3409	0.0107431	1.02215	1.01752	scored	0.283409
6	461298	31732	31.875	0.00552302	1.01958	1.01953	scored	0.31875
7	784652	54147	35.5994	0.00420037	1.01287	1.01298	scored	0.355994
8	828790	56637	39.2846	0.00402206	1.00302	0.991675	scored	0.392846
9	620269	42718	43.0716	0.00461188	0.988451	0.987822	scored	0.430716
10	371983	26022	46.8988	0.00590782	0.975178	0.988202	scored	0.468988
11	176779	12504	50.6924	0.00843284	0.968317	0.9782	scored	0.506924
12	76704	5574	54.5106	0.0126432	0.969645	0.980215	scored	0.545106
13	27135	2112	58.3533	0.0218545	0.979361	1.04588	scored	0.583533
14	8004	655	62.1331	0.0403564	1.0041	1.07789	scored	0.621331
15	2392	230	66.0406	0.0760635	1.0531	1.21337	scored	0.660406
16	981	102	70.1251	0.121028	1.12858	1.29129	scored	0.701251
4	7943	509	24.9174	0.0428822	0.959485	1.00004	sizematched	0.249174
5	110567	7167	28.3503	0.0113413	0.963233	0.992849	sizematched	0.283503
6	430580	27697	31.8805	0.00570566	0.970305	0.981656	sizematched	0.318805
7	754655	49275	35.6134	0.00428722	0.978806	0.984354	sizematched	0.356134
8	808517	53278	39.2888	0.00409866	0.989265	0.978855	sizematched	0.392888
9	619314	41135	43.0822	0.004646	1.0013	0.975235	sizematched	0.430822
10	386974	26965	46.9121	0.00590987	1.01805	1.00615	sizematched	0.469121
11	194311	14116	50.7159	0.00831871	1.04544	1.02633	sizematched	0.507159
12	92798	7608	54.5557	0.0123935	1.09118	1.12825	sizematched	0.545557
13	40523	4066	58.429	0.0199417	1.16935	1.34062	sizematched	0.58429
14	15875	2040	62.221	0.0348667	1.29392	1.68691	sizematched	0.62221
15	5749	922	66.0691	0.0620515	1.46366	2.05625	sizematched	0.660691
16	2453	336	70.0417	0.0862498	1.60432	1.70183	sizematched	0.700417
17	1000	109	73.8177	0.12854	1.71565	1.42171	sizematched	0.738177
